,exchangeId,encodedCustNo,name,nickName,isAlwaysOn,jobCount,industryMean,mean,meanNonSupervisor,medianNonSupervisor
686,3308,ag8l9co,聯德電子股份有限公司,聯德,True,7,94.0,522.5,358.1,374.9
384,2454,12noppgo,聯發科技股份有限公司,聯發科,True,312,193.8,384.5,375.4,309.4
575,3034,12nopku0,聯詠科技股份有限公司,聯詠,True,206,193.8,378.4,371.2,302.8
1053,5274,cmna4ww,信驊科技股份有限公司,信驊,True,18,193.8,345.9,324.8,292.3
439,2540,a6zrewg,甲山林集團_愛山林建設開發股份有限公司,愛山林,True,58,105.5,552.6,365.9,281.7
728,3443,7hkiz4o,創意電子股份有限公司,創意,True,30,193.8,354.1,313.4,259.8
333,2379,aexwm9k,瑞昱半導體股份有限公司,瑞昱,True,281,193.8,316.7,314.9,259.3
1364,6526,5x2b0tk,聯發科技集團_達發科技股份有限公司,達發,True,74,193.8,281.3,280.4,234.7
556,3014,12nokh6w,聯陽半導體股份有限公司,聯陽,True,15,193.8,263.0,252.3,234.6
1513,8016,13ufx7i8,矽創電子股份有限公司,矽創,True,25,193.8,245.0,249.3,232.7
655,3227,7n30ibs,原相科技股份有限公司,原相,True,35,193.8,274.3,250.0,230.1
1350,6494,d3htb9s,九齊科技股份有限公司,九齊,True,1,193.8,165.5,245.9,226.5
762,3529,win519c,力旺電子股份有限公司,力旺,True,16,193.8,279.3,257.6,226.4
299,2330,a5h92m0,台灣積體電路製造股份有限公司(台積電),台積電,True,252,193.8,273.7,284.2,224.8
679,3293,asz1lzk,鈊象電子股份有限公司,鈊象,True,64,122.0,316.7,280.5,217.6
794,3592,10zv3t2o,瑞鼎科技股份有限公司,瑞鼎,True,85,193.8,260.7,255.6,213.9
1449,6732,1a2x6bjrvo,昇佳電子股份有限公司,昇佳電子,True,12,193.8,218.0,220.4,206.6
1051,5269,112fnt8g,祥碩科技股份有限公司,祥碩,True,10,193.8,344.2,262.1,205.4
1546,8081,12nokltk,致新科技股份有限公司,致新,True,19,193.8,237.0,225.0,204.4
1411,6643,omt3qew,M31 Technology Corporation_円星科技股份有限公司,M31,True,22,193.8,236.3,241.9,202.2
1045,5236,cwxdiw0,凌陽創新科技股份有限公司,凌陽創新,True,2,193.8,243.4,233.6,201.1
269,2207,1hrmizk,和泰汽車股份有限公司,和泰車,True,24,86.6,311.8,263.0,199.1
576,3035,12no6e8w,智原科技股份有限公司,智原,True,46,193.8,249.5,232.3,198.0
551,3006,7erjvpc,晶豪科技股份有限公司,晶豪科,True,51,193.8,205.2,212.4,197.0
445,2548,aqb94xc,華固建設股份有限公司,華固,True,4,105.5,367.1,207.3,196.0
1010,4961,12nofszc,天鈺科技股份有限公司,天鈺,True,48,193.8,240.0,242.6,194.6
1369,6533,cp2z8s0,晶心科技股份有限公司,晶心科,True,26,193.8,69.9,226.9,191.6
1381,6561,13ia78gw,是方電訊股份有限公司(中華電信關係企業),是方,True,12,101.1,194.6,204.2,188.1
337,2385,9mjl874,群光電子股份有限公司,群光,True,23,94.0,244.1,209.9,180.8
1597,8299,5t7gcns,Phison Electronics Corp_群聯電子股份有限公司,群聯,True,273,193.8,216.6,202.0,178.4
292,2317,233rv1s,鴻海精密工業股份有限公司,鴻海,True,1043,134.7,239.5,251.7,177.2
387,2458,12no9wsg,義隆電子股份有限公司,義隆,True,33,193.8,182.3,186.4,171.5
1237,6191,118qxre0,精成科技股份有限公司,精成科,True,19,94.0,321.2,209.4,171.4
669,3266,12njhneg,昇陽建設企業股份有限公司,昇陽,True,2,105.5,216.9,171.3,170.1
1459,6756,1a2x6bi080,威鋒電子股份有限公司,威鋒電子,True,8,193.8,213.3,205.4,166.1
1006,4952,113bdalk,凌通科技股份有限公司,凌通,True,7,193.8,157.1,169.2,162.9
1319,6412,b5mbqqo,群光電能科技股份有限公司,群電,True,54,94.0,185.2,183.0,162.6
581,3041,12no69m8,揚智科技股份有限公司,揚智,True,14,193.8,199.8,171.3,160.5
1318,6411,cwfahe0,晶焱科技股份有限公司,晶焱,True,5,193.8,310.4,195.1,159.2
1167,6104,18rejv5k,創惟科技股份有限公司,創惟,True,18,193.8,189.5,179.5,159.1
797,3596,5voyq28,智易科技股份有限公司,智易,True,69,101.1,190.6,188.1,158.9
766,3533,a7vl51k,嘉澤端子工業股份有限公司,嘉澤,True,25,94.0,278.4,189.9,157.8
285,2303,low6oqw,聯電_聯華電子股份有限公司,聯電,True,50,193.8,201.5,185.1,157.7
1367,6531,okut4k8,愛普科技股份有限公司,愛普*,True,8,193.8,250.7,200.8,157.3
314,2354,aw30gbs,鴻準精密工業股份有限公司,鴻準,True,13,134.7,248.1,226.6,155.3
772,3545,cw83dgg,敦泰電子股份有限公司,敦泰,True,17,193.8,168.1,183.3,154.6
455,2610,54bzekg,中華航空股份有限公司,華航,True,2,127.2,152.6,207.5,154.5
550,3005,a5hho0w,神基投資控股股份有限公司,神基,True,0,138.1,230.9,175.0,152.6
1436,6695,cwxosr4,芯鼎科技股份有限公司,芯鼎,True,25,193.8,165.0,161.6,151.7
339,2388,13womfgw,威盛電子股份有限公司,威盛,True,16,193.8,173.3,169.2,151.5
1015,4974,111n0u9k,亞泰影像科技股份有限公司,亞泰,True,2,94.0,209.2,161.8,151.1
877,4162,10vfivy0,智擎生技製藥股份有限公司,智擎,True,2,88.8,216.0,169.6,150.9
624,3131,12r3bo8o,弘塑科技股份有限公司,弘塑,True,21,134.7,166.0,155.9,150.4
225,2013,13ez7vuo,中國鋼鐵結構股份有限公司,中鋼構,True,6,97.9,173.5,167.9,150.2
1582,8213,wixb8wg,志超科技股份有限公司,志超,True,0,94.0,146.5,151.8,150.0
353,2412,1a2x6bk73o,中華電信股份有限公司,中華電,True,42,101.1,88.1,152.6,148.7
287,2308,fn5mtmo,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台達電,True,773,94.0,164.7,173.4,146.6
992,4915,cv6lny8,致伸科技股份有限公司,致伸,True,106,94.0,189.7,162.7,146.0
1523,8040,7drmv3c,九暘電子股份有限公司,九暘,True,5,193.8,165.8,157.9,146.0
1232,6186,7hvu960,新潤興業股份有限公司,新潤,True,1,105.5,194.9,150.9,144.5
752,3515,10wkk4i0,華擎科技股份有限公司,華擎,True,12,138.1,180.8,162.4,142.9
1328,6435,1a2x6biad7,大中積體電路股份有限公司,大中,True,6,193.8,143.4,147.8,142.7
792,3588,10v9de6g,通嘉科技股份有限公司,通嘉,True,16,193.8,157.7,147.9,141.2
449,2603,57i7v6g,長榮海運股份有限公司,長榮,True,0,127.2,165.9,153.9,141.0
1107,5471,18l95gqo,松翰科技股份有限公司,松翰,True,38,193.8,148.2,148.3,139.6
586,3046,18p9r2qw,建碁股份有限公司,建碁,True,2,138.1,135.6,127.4,139.6
21,1232,9m3ejcg,大統益股份有限公司,大統益,True,5,84.8,172.9,157.6,139.2
635,3169,12noeflk,亞信電子股份有限公司,亞信,True,7,193.8,192.0,159.0,139.2
348,2404,9ma029s,漢唐集成股份有限公司,漢唐,True,71,134.7,173.5,157.7,138.7
510,2851,539xizc,中央再保險股份有限公司,中再保,True,4,134.3,170.3,162.9,138.3
306,2344,a5haxqo,華邦電子股份有限公司,華邦電,True,95,193.8,156.6,158.9,138.2
100,1477,augl4f4,聚陽實業股份有限公司,聚陽,True,39,72.4,192.7,150.8,138.1
463,2618,ao3p9e0,長榮航空股份有限公司,長榮航,True,2,127.2,163.2,193.0,137.9
317,2357,auxx12g,華碩電腦股份有限公司,華碩,True,527,138.1,172.0,169.1,137.5
1112,5483,lp8o7m8,中美矽晶製品股份有限公司,中美晶,True,5,193.8,157.9,145.2,137.0
174,1723,ao1eukg,中鋼碳素化學股份有限公司,中碳,True,0,90.9,164.9,147.0,136.8
1588,8249,7mh7q0g,菱光科技股份有限公司,菱光,True,6,94.0,208.3,164.7,136.8
759,3526,7o1hee8,凡甲科技股份有限公司,凡甲,True,2,94.0,219.9,147.5,135.9
1683,9930,13k9kiao,中聯資源股份有限公司,中聯資源,True,1,95.1,157.4,144.9,135.5
297,2328,1mnkbyo,廣宇科技股份有限公司,廣宇,True,8,94.0,201.3,156.9,135.3
173,1722,1qri6o8,台灣肥料股份有限公司,台肥,True,8,90.9,163.6,151.4,135.2
1503,6901,1a2x6bll3p,鑽石生技投資股份有限公司,鑽石投資,True,3,95.4,319.2,191.6,135.0
1129,5522,25adf8w,遠雄建設事業股份有限公司,遠雄,True,11,105.5,195.1,145.7,134.7
435,2536,am8wyls,宏普建設股份有限公司,宏普,True,5,105.5,169.7,143.4,134.3
1382,6568,d3knjts,宏觀微電子股份有限公司,宏觀,True,6,193.8,151.6,143.2,134.0
1284,6243,7kz4rqg,迅杰科技股份有限公司,迅杰,True,2,193.8,192.1,148.9,133.7
451,2606,lmeq4xk,裕民航運股份有限公司,裕民,True,3,127.2,172.6,156.1,133.3
1354,6505,13qx38i8,台塑石化股份有限公司,台塑化,False,0,102.0,136.4,143.5,132.3
1054,5278,10vqsslk,尚凡國際創新科技股份有限公司,尚凡,True,5,100.7,146.1,135.1,132.2
726,3438,7pruon4,台灣類比科技股份有限公司,類比科,True,0,193.8,152.7,147.1,132.0
502,2820,5lql61k,中華票券金融股份有限公司,華票,True,3,134.3,167.7,148.9,132.0
312,2352,5qkelsg,佳世達科技股份有限公司,佳世達,True,71,138.1,173.0,159.2,132.0
525,2891,10wks8xs,中國信託金融控股股份有限公司,中信金,False,0,134.3,179.7,159.3,131.4
1270,6227,9k6wknk,茂綸股份有限公司,茂綸,True,21,110.9,140.4,140.9,131.3
1120,5508,aaqzgwg,永信建設開發股份有限公司,永信建,True,6,105.5,153.7,140.0,131.2
1337,6462,d8vx7bc,神盾股份有限公司,神盾,True,11,193.8,171.3,170.0,131.0
321,2363,a5hale8,SiS＿矽統科技股份有限公司,矽統,True,4,193.8,179.5,141.4,131.0
520,2886,wiuk500,兆豐金融控股股份有限公司,兆豐金,True,1,134.3,165.8,156.2,130.4
760,3527,7saq3h4,Macroblock_聚積科技股份有限公司,聚積,True,10,193.8,133.7,149.2,130.2
498,2801,nsvald4,彰化商業銀行股份有限公司,彰銀,True,7,134.3,147.5,139.4,130.2
526,2892,0,第一金融控股股份有限公司,第一金,False,0,134.3,157.7,139.7,129.3
335,2382,ahfsoq0,廣達電腦股份有限公司,廣達,True,202,138.1,162.8,152.2,129.1
1152,5880,1a2x6bia31,合作金庫金融控股股份有限公司,合庫金,True,0,134.3,144.5,137.6,129.0
834,3702,ctvszsw,大聯大控股股份有限公司,大聯大,True,18,110.9,168.7,140.8,129.0
1094,5434,aunp60g,崇越科技股份有限公司,崇越,True,28,110.9,208.5,171.1,128.9
626,3141,wc5q668,晶宏半導體股份有限公司,晶宏,True,12,193.8,150.5,137.3,128.0
718,3413,5wngyqo,京鼎精密科技股份有限公司,京鼎,True,75,193.8,147.2,137.0,128.0
1347,6488,1a2x6bj3qu,環球晶圓股份有限公司,環球晶,True,8,193.8,151.0,138.6,128.0
370,2432,a5bfboo,倚天酷碁股份有限公司,倚天酷碁-創,True,6,138.1,174.1,147.6,127.7
1241,6196,amsb7y8,帆宣系統科技股份有限公司,帆宣,True,72,134.7,181.9,163.3,127.5
763,3530,cjgrpi8,晶相光電股份有限公司,晶相光,True,2,193.8,196.7,152.7,127.1
1192,6138,7gsk3g0,茂達電子股份有限公司,茂達,True,15,193.8,146.2,145.1,127.0
1234,6188,7qfuky8,廣明光電股份有限公司_廣達關係企業,廣明,True,50,138.1,157.7,154.9,126.9
1679,9926,ga01ci8,新海瓦斯股份有限公司,新海,True,3,102.0,111.0,127.9,126.6
242,2035,ynyxsi0,唐榮鐵工廠股份有限公司,唐榮公司,True,0,97.9,112.5,112.3,126.5
1131,5525,agho7ew,順天建設股份有限公司,順天,True,9,105.5,161.3,146.1,126.1
